PC1,PC2,Cluster
-1771.9576,-675.532,0
-2879.682,-690.3057,0
-329.37744,84.543274,7
-2827.6655,-675.36206,0
-2587.8975,-509.74744,0
-2900.6284,-677.88403,0
1854.9583,2741.8096,3
-2802.335,-666.1916,0
-1032.8887,-377.67545,7
-2473.901,-491.0986,0
-1696.419,-531.691,0
-2905.942,-683.94763,0
2604.7678,809.9285,3
1790.4841,2714.0906,3
1953.4827,818.7099,3
-634.2798,-24.962524,7
11088.039,1666.1467,5
-2615.2463,-538.88916,0
-2612.9688,-562.849,0
-2563.906,-617.68744,0
-768.9253,-267.0473,7
-2860.9692,-663.49133,0
704.57837,613.25055,7
323.14795,436.62762,7
3683.4197,1071.4397,3
622.7112,1037.0098,7
-2732.3125,-597.7801,0
-2717.9158,-572.1116,0
-2560.1543,-543.9706,0
-1643.9034,-638.28564,0
-782.70557,-77.48285,7
-862.1216,-273.61914,7
-727.5957,118.44061,7
-1079.043,-436.6981,7
272.57324,503.0252,7
-2107.523,-730.7825,0
-2597.7874,-538.32996,0
-2376.8787,-445.48306,0
-2863.92,-667.9546,0
9649.367,1938.0271,5
15949.43,1420.44,1
-2824.6328,-645.3623,0
-2524.9214,-501.13937,0
4475.4287,1232.9255,3
-2033.3844,-351.94073,0
-1706.0243,-658.3135,0
-1743.8188,-187.36829,0
4454.926,1001.4152,3
-2408.3037,-524.8331,0
-2342.9636,-449.3237,0
-2441.7246,-488.4118,0
-1679.7821,-153.43774,0
27284.678,859.5892,6
-2556.25,-549.86584,0
-2871.9927,-677.5636,0
-1264.3699,-12.302063,7
-987.3508,-372.6708,7
-2426.3713,-468.10358,0
-2746.08,-610.30176,0
87.77246,219.13959,7
-2104.8457,-633.41077,0
-2888.5017,-688.51404,0
-1113.9287,-430.63763,7
1533.9363,2134.5837,3
-850.1284,-291.36798,7
-2636.563,-583.5452,0
2311.3484,802.1458,3
1521.7571,2057.45,3
488.00806,841.9222,7
1247.3499,522.3571,3
-2425.728,-515.1648,0
-2476.146,-456.92892,0
-673.3032,-412.9508,7
-583.7456,-74.038086,7
-2172.273,-427.84546,0
-2228.2847,-402.1778,0
-2858.8662,-683.2611,0
-2443.5068,-557.4722,0
-2528.5225,-654.4862,0
-2609.766,-542.0554,0
-2068.4214,-739.798,0
-277.0979,316.7657,7
-1140.4548,-438.48108,7
-2217.121,-342.20572,0
-1661.9994,-111.09772,0
-1515.327,-117.45758,0
